model,chart number,cost
dp,1,14087.475
dp,2,14233.925
dp,3,14273.761
dp,4,14150.968
dp,5,14183.423
dp,6,14178.283
dp,7,14315.038
dp,8,14157.246
dp,9,14214.367
dp,10,14216.441
dp,11,14218.304
dp,12,14290.963
dp,13,14094.686
dp,14,14282.934
dp,15,14203.034
dp,16,14281.682
dp,17,14171.514
dp,18,14201.938
dp,19,14193.688
dp,20,14214.081
dp,1,13446.828
dp,2,13531.204
dp,3,13528.216
dp,4,13459.232
dp,5,13434.034
dp,6,13530.758
dp,7,13517.577
dp,8,13485.848
dp,9,13452.978
dp,10,13560.461
dp,11,13539.598
dp,12,13466.813
dp,13,13605.961
dp,14,13648.167
dp,15,13573.852
dp,16,13463.875
dp,17,13553.93
dp,18,13577.434
dp,19,13659.222
dp,20,13584.697
dp,1,12511.984
dp,2,12520.563
dp,3,12610.665
dp,4,12608.45
dp,5,12538.01
dp,6,12500.569
dp,7,12476.897
dp,8,12332.635
dp,9,12487.249
dp,10,12510.008
dp,11,12530.67
dp,12,12693.259
dp,13,12533.883
dp,14,12587.168
dp,15,12536.598
dp,16,12622.412
dp,17,12594.57
dp,18,12651.898
dp,19,12473.945
dp,20,12666.046
dp,1,10947.11
dp,2,10965.676
dp,3,10873.954
dp,4,10920.396
dp,5,11027.806
dp,6,10786.452
dp,7,11059.635
dp,8,10766.051
dp,9,10873.27
dp,10,10828.345
dp,11,11069.748
dp,12,11091.303
dp,13,11035.883
dp,14,11139.168
dp,15,11006.411
dp,16,10918.598
dp,17,11088.288
dp,18,11045.909
dp,19,11078.015
dp,20,11050.882
dp,1,7226.91
dp,2,6504.477
dp,3,7000.946
dp,4,7056.431
dp,5,7290.494
dp,6,7057.217
dp,7,7158.88
dp,8,7025.215
dp,9,6562.736
dp,10,6686.128
dp,11,6811.154
dp,12,7531.042
dp,13,7007.123
dp,14,7394.771
dp,15,7830.619
dp,16,7509.325
dp,17,7253.207
dp,18,7313.17
dp,19,6441.224
dp,20,6735.1
f1s,1,14579.292
f1s,2,14711.721
f1s,3,14751.156
f1s,4,14652.025
f1s,5,14673.092
f1s,6,14657.853
f1s,7,14786.478
f1s,8,14637.825
f1s,9,14680.838
f1s,10,14714.291
f1s,11,14691.461
f1s,12,14762.657
f1s,13,14595.293
f1s,14,14746.29
f1s,15,14685.256
f1s,16,14745.461
f1s,17,14658.798
f1s,18,14690.783
f1s,19,14675.065
f1s,20,14674.627
f1s,1,14015.916
f1s,2,14090.924
f1s,3,14089.301
f1s,4,14088.417
f1s,5,14016.423
f1s,6,14094.725
f1s,7,14083.154
f1s,8,14062.898
f1s,9,14043.301
f1s,10,14122.716
f1s,11,14109.402
f1s,12,14074.48
f1s,13,14206.181
f1s,14,14194.959
f1s,15,14157.632
f1s,16,14029.616
f1s,17,14137.485
f1s,18,14149.611
f1s,19,14214.758
f1s,20,14150.243
f1s,1,13306.369
f1s,2,13329.36
f1s,3,13413.015
f1s,4,13330.755
f1s,5,13308.911
f1s,6,13267.022
f1s,7,13297.451
f1s,8,13156.941
f1s,9,13313.383
f1s,10,13257.785
f1s,11,13282.597
f1s,12,13452.229
f1s,13,13321.031
f1s,14,13349.576
f1s,15,13327.596
f1s,16,13409.51
f1s,17,13359.843
f1s,18,13384.8
f1s,19,13281.341
f1s,20,13452.808
f1s,1,12172.139
f1s,2,12246.053
f1s,3,12137.733
f1s,4,12171.012
f1s,5,12260.647
f1s,6,12126.855
f1s,7,12244.997
f1s,8,12058.755
f1s,9,12205.497
f1s,10,12183.494
f1s,11,12258.008
f1s,12,12236.558
f1s,13,12234.643
f1s,14,12222.173
f1s,15,12277.537
f1s,16,12193.899
f1s,17,12268.919
f1s,18,12239.186
f1s,19,12325.6
f1s,20,12279.485
f1s,1,9597.289
f1s,2,8957.572
