model,category,cost
dp,25x25_0.05,881.835
dp,25x25_0.05,836.378
dp,25x25_0.05,852.68
dp,25x25_0.05,819.702
dp,25x25_0.05,834.694
dp,25x25_0.05,844.927
dp,25x25_0.05,825.009
dp,25x25_0.05,856.222
dp,25x25_0.05,811.901
dp,25x25_0.05,814.353
dp,25x25_0.05,830.473
dp,25x25_0.05,826.703
dp,25x25_0.05,823.344
dp,25x25_0.05,835.378
dp,25x25_0.05,859.389
dp,25x25_0.05,800.917
dp,25x25_0.05,817.882
dp,25x25_0.05,818.325
dp,25x25_0.05,876.901
dp,25x25_0.05,817.196
dp,25x25_0.25,773.849
dp,25x25_0.25,798.713
dp,25x25_0.25,780.62
dp,25x25_0.25,741.769
dp,25x25_0.25,786.902
dp,25x25_0.25,779.056
dp,25x25_0.25,799.752
dp,25x25_0.25,777.364
dp,25x25_0.25,779.209
dp,25x25_0.25,757.456
dp,25x25_0.25,758.009
dp,25x25_0.25,759.966
dp,25x25_0.25,736.442
dp,25x25_0.25,748.511
dp,25x25_0.25,798.285
dp,25x25_0.25,765.868
dp,25x25_0.25,772.127
dp,25x25_0.25,779.84
dp,25x25_0.25,791.996
dp,25x25_0.25,770.393
dp,25x25_0.5,632.525
dp,25x25_0.5,701.732
dp,25x25_0.5,658.114
dp,25x25_0.5,713.515
dp,25x25_0.5,712.509
dp,25x25_0.5,682.485
dp,25x25_0.5,684.394
dp,25x25_0.5,691.434
dp,25x25_0.5,694.971
dp,25x25_0.5,726.716
dp,25x25_0.5,722.005
dp,25x25_0.5,661.767
dp,25x25_0.5,652.322
dp,25x25_0.5,659.088
dp,25x25_0.5,666.463
dp,25x25_0.5,703.428
dp,25x25_0.5,699.607
dp,25x25_0.5,660.659
dp,25x25_0.5,725.443
dp,25x25_0.5,695.493
dp,25x25_0.75,571.857
dp,25x25_0.75,493.494
dp,25x25_0.75,407.146
dp,25x25_0.75,480.16
dp,25x25_0.75,537.0
dp,25x25_0.75,528.455
dp,25x25_0.75,475.334
dp,25x25_0.75,586.998
dp,25x25_0.75,584.441
dp,25x25_0.75,584.873
dp,25x25_0.75,449.102
dp,25x25_0.75,605.37
dp,25x25_0.75,521.181
dp,25x25_0.75,538.253
dp,25x25_0.75,507.238
dp,25x25_0.75,546.777
dp,25x25_0.75,524.88
dp,25x25_0.75,498.793
dp,25x25_0.75,494.518
dp,25x25_0.75,525.897
dp,25x25_0.95,293.394
dp,25x25_0.95,266.054
dp,25x25_0.95,216.761
dp,25x25_0.95,257.882
dp,25x25_0.95,272.067
dp,25x25_0.95,228.227
dp,25x25_0.95,277.605
dp,25x25_0.95,310.49
dp,25x25_0.95,194.959
dp,25x25_0.95,262.91
dp,25x25_0.95,216.065
dp,25x25_0.95,200.104
dp,25x25_0.95,242.513
dp,25x25_0.95,228.872
dp,25x25_0.95,220.028
dp,25x25_0.95,242.244
dp,25x25_0.95,296.063
dp,25x25_0.95,207.637
dp,25x25_0.95,210.708
dp,25x25_0.95,298.86
f1s,25x25_0.05,939.34
f1s,25x25_0.05,919.125
f1s,25x25_0.05,923.158
f1s,25x25_0.05,901.315
f1s,25x25_0.05,909.071
f1s,25x25_0.05,912.712
f1s,25x25_0.05,904.585
f1s,25x25_0.05,922.025
f1s,25x25_0.05,885.42
f1s,25x25_0.05,885.208
f1s,25x25_0.05,900.899
f1s,25x25_0.05,906.995
f1s,25x25_0.05,906.845
f1s,25x25_0.05,921.676
f1s,25x25_0.05,931.821
f1s,25x25_0.05,884.499
f1s,25x25_0.05,896.566
f1s,25x25_0.05,901.925
f1s,25x25_0.05,937.264
f1s,25x25_0.05,894.163
f1s,25x25_0.25,862.565
f1s,25x25_0.25,881.17
f1s,25x25_0.25,866.469
f1s,25x25_0.25,839.215
f1s,25x25_0.25,870.782
f1s,25x25_0.25,867.07
f1s,25x25_0.25,876.246
f1s,25x25_0.25,873.997
f1s,25x25_0.25,859.732
f1s,25x25_0.25,851.684
f1s,25x25_0.25,855.188
f1s,25x25_0.25,845.042
f1s,25x25_0.25,842.355
f1s,25x25_0.25,834.115
f1s,25x25_0.25,872.484
f1s,25x25_0.25,864.861
f1s,25x25_0.25,859.012
f1s,25x25_0.25,875.982
f1s,25x25_0.25,877.075
f1s,25x25_0.25,855.485
f1s,25x25_0.5,755.386
f1s,25x25_0.5,823.358
f1s,25x25_0.5,792.296
f1s,25x25_0.5,818.335
f1s,25x25_0.5,827.802
f1s,25x25_0.5,814.547
f1s,25x25_0.5,791.176
f1s,25x25_0.5,810.626
f1s,25x25_0.5,805.819
f1s,25x25_0.5,829.85
f1s,25x25_0.5,834.571
f1s,25x25_0.5,769.682
f1s,25x25_0.5,774.331
f1s,25x25_0.5,787.734
f1s,25x25_0.5,802.816
f1s,25x25_0.5,796.609
f1s,25x25_0.5,825.662
f1s,25x25_0.5,788.917
f1s,25x25_0.5,843.023
f1s,25x25_0.5,808.695
f1s,25x25_0.75,726.222
f1s,25x25_0.75,684.198
f1s,25x25_0.75,560.116
f1s,25x25_0.75,661.959
f1s,25x25_0.75,698.995
f1s,25x25_0.75,680.738
f1s,25x25_0.75,665.407
f1s,25x25_0.75,745.172
f1s,25x25_0.75,731.278
f1s,25x25_0.75,751.223
f1s,25x25_0.75,648.829
f1s,25x25_0.75,740.942
f1s,25x25_0.75,671.92
f1s,25x25_0.75,714.308
f1s,25x25_0.75,626.949
f1s,25x25_0.75,694.506
f1s,25x25_0.75,697.39
f1s,25x25_0.75,683.445
f1s,25x25_0.75,669.176
f1s,25x25_0.75,671.159
f1s,25x25_0.95,485.561
f1s,25x25_0.95,495.874
f1s,25x25_0.95,335.946
f1s,25x25_0.95,430.42
f1s,25x25_0.95,488.817
f1s,25x25_0.95,377.145
f1s,25x25_0.95,415.627
f1s,25x25_0.95,476.92
f1s,25x25_0.95,194.959
f1s,25x25_0.95,396.874
f1s,25x25_0.95,293.305
f1s,25x25_0.95,351.807
f1s,25x25_0.95,321.928
f1s,25x25_0.95,355.881
f1s,25x25_0.95,276.363
f1s,25x25_0.95,397.765
f1s,25x25_0.95,422.078
f1s,25x25_0.95,347.768
f1s,25x25_0.95,366.327
f1s,25x25_0.95,388.727
f2s,25x25_0.05,923.13
f2s,25x25_0.05,863.914
f2s,25x25_0.05,871.202
f2s,25x25_0.05,860.173
f2s,25x25_0.05,881.812
f2s,25x25_0.05,894.404
f2s,25x25_0.05,859.573
f2s,25x25_0.05,919.022
f2s,25x25_0.05,840.232
f2s,25x25_0.05,895.693
f2s,25x25_0.05,926.831
f2s,25x25_0.05,902.542
f2s,25x25_0.05,877.468
f2s,25x25_0.05,870.153
f2s,25x25_0.05,899.63
f2s,25x25_0.05,865.528
f2s,25x25_0.05,831.544
f2s,25x25_0.05,896.424
f2s,25x25_0.05,926.221
f2s,25x25_0.05,848.83
f2s,25x25_0.25,799.56
f2s,25x25_0.25,832.746
f2s,25x25_0.25,844.651
f2s,25x25_0.25,777.665
f2s,25x25_0.25,818.03
f2s,25x25_0.25,836.283
f2s,25x25_0.25,859.194
f2s,25x25_0.25,829.035
f2s,25x25_0.25,827.807
f2s,25x25_0.25,825.816
f2s,25x25_0.25,769.375
f2s,25x25_0.25,832.58
f2s,25x25_0.25,840.535
f2s,25x25_0.25,798.617
f2s,25x25_0.25,833.024
f2s,25x25_0.25,811.29
f2s,25x25_0.25,805.638
f2s,25x25_0.25,825.198
f2s,25x25_0.25,824.894
f2s,25x25_0.25,834.124
f2s,25x25_0.5,681.033
f2s,25x25_0.5,803.804
f2s,25x25_0.5,749.276
f2s,25x25_0.5,752.544
f2s,25x25_0.5,759.684
f2s,25x25_0.5,726.784
f2s,25x25_0.5,767.503
f2s,25x25_0.5,736.149
f2s,25x25_0.5,761.932
f2s,25x25_0.5,780.687
f2s,25x25_0.5,773.086
f2s,25x25_0.5,710.959
f2s,25x25_0.5,693.359
f2s,25x25_0.5,731.628
f2s,25x25_0.5,742.605
f2s,25x25_0.5,788.414
f2s,25x25_0.5,724.881
f2s,25x25_0.5,691.792
f2s,25x25_0.5,748.978
f2s,25x25_0.5,745.65
f2s,25x25_0.75,619.641
f2s,25x25_0.75,622.939
f2s,25x25_0.75,427.386
f2s,25x25_0.75,494.062
f2s,25x25_0.75,575.226
f2s,25x25_0.75,576.108
f2s,25x25_0.75,523.83
f2s,25x25_0.75,601.377
f2s,25x25_0.75,651.716
f2s,25x25_0.75,629.209
f2s,25x25_0.75,461.036
f2s,25x25_0.75,645.646
f2s,25x25_0.75,564.024
f2s,25x25_0.75,601.685
f2s,25x25_0.75,530.6
f2s,25x25_0.75,590.67
f2s,25x25_0.75,606.669
f2s,25x25_0.75,584.256
f2s,25x25_0.75,551.032
f2s,25x25_0.75,559.461
f2s,25x25_0.95,447.199
f2s,25x25_0.95,355.589
f2s,25x25_0.95,225.935
f2s,25x25_0.95,309.788
f2s,25x25_0.95,302.872
f2s,25x25_0.95,253.41
f2s,25x25_0.95,339.429
f2s,25x25_0.95,344.225
f2s,25x25_0.95,211.731
f2s,25x25_0.95,351.116
f2s,25x25_0.95,216.065
f2s,25x25_0.95,292.121
f2s,25x25_0.95,284.943
f2s,25x25_0.95,267.501
f2s,25x25_0.95,226.52
f2s,25x25_0.95,303.802
f2s,25x25_0.95,359.516
f2s,25x25_0.95,247.939
f2s,25x25_0.95,258.052
f2s,25x25_0.95,321.413
