model,category,cost
dp,25x25_0.05,881.835
dp,25x25_0.05,836.378
dp,25x25_0.05,852.68
dp,25x25_0.05,819.702
dp,25x25_0.05,834.694
dp,25x25_0.05,844.927
dp,25x25_0.05,825.009
dp,25x25_0.05,856.222
dp,25x25_0.05,811.901
dp,25x25_0.05,814.353
dp,25x25_0.05,830.473
dp,25x25_0.05,826.703
dp,25x25_0.05,823.344
dp,25x25_0.05,835.378
dp,25x25_0.05,859.389
dp,25x25_0.05,800.917
dp,25x25_0.05,817.882
dp,25x25_0.05,818.325
dp,25x25_0.05,876.901
dp,25x25_0.05,817.196
dp,25x25_0.95,293.394
dp,25x25_0.95,266.054
dp,25x25_0.95,216.761
dp,25x25_0.95,257.882
dp,25x25_0.95,272.067
dp,25x25_0.95,228.227
dp,25x25_0.95,277.605
dp,25x25_0.95,310.49
dp,25x25_0.95,194.959
dp,25x25_0.95,262.91
dp,25x25_0.95,216.065
dp,25x25_0.95,200.104
dp,25x25_0.95,242.513
dp,25x25_0.95,228.872
dp,25x25_0.95,220.028
dp,25x25_0.95,242.244
dp,25x25_0.95,296.063
dp,25x25_0.95,207.637
dp,25x25_0.95,210.708
dp,25x25_0.95,298.86
f1s,25x25_0.05,939.34
f1s,25x25_0.05,919.125
f1s,25x25_0.05,923.158
f1s,25x25_0.05,901.315
f1s,25x25_0.05,909.071
f1s,25x25_0.05,912.712
f1s,25x25_0.05,904.585
f1s,25x25_0.05,922.025
f1s,25x25_0.05,885.42
f1s,25x25_0.05,885.208
f1s,25x25_0.05,900.899
f1s,25x25_0.05,906.995
f1s,25x25_0.05,906.845
f1s,25x25_0.05,921.676
f1s,25x25_0.05,931.821
f1s,25x25_0.05,884.499
f1s,25x25_0.05,896.566
f1s,25x25_0.05,901.925
f1s,25x25_0.05,937.264
f1s,25x25_0.05,894.163
f1s,25x25_0.95,485.561
f1s,25x25_0.95,495.874
f1s,25x25_0.95,335.946
f1s,25x25_0.95,430.42
f1s,25x25_0.95,488.817
f1s,25x25_0.95,377.145
f1s,25x25_0.95,415.627
f1s,25x25_0.95,476.92
f1s,25x25_0.95,194.959
f1s,25x25_0.95,396.874
f1s,25x25_0.95,293.305
f1s,25x25_0.95,351.807
f1s,25x25_0.95,321.928
f1s,25x25_0.95,355.881
f1s,25x25_0.95,276.363
f1s,25x25_0.95,397.765
f1s,25x25_0.95,422.078
f1s,25x25_0.95,347.768
f1s,25x25_0.95,366.327
f1s,25x25_0.95,388.727
f2s,25x25_0.05,923.13
f2s,25x25_0.05,863.914
f2s,25x25_0.05,871.202
f2s,25x25_0.05,860.173
f2s,25x25_0.05,881.812
f2s,25x25_0.05,894.404
f2s,25x25_0.05,859.573
f2s,25x25_0.05,919.022
f2s,25x25_0.05,840.232
f2s,25x25_0.05,895.693
f2s,25x25_0.05,926.831
f2s,25x25_0.05,902.542
f2s,25x25_0.05,877.468
f2s,25x25_0.05,870.153
f2s,25x25_0.05,899.63
f2s,25x25_0.05,865.528
f2s,25x25_0.05,831.544
f2s,25x25_0.05,896.424
f2s,25x25_0.05,926.221
f2s,25x25_0.05,848.83
f2s,25x25_0.95,447.199
f2s,25x25_0.95,355.589
f2s,25x25_0.95,225.935
f2s,25x25_0.95,309.788
f2s,25x25_0.95,302.872
f2s,25x25_0.95,253.41
f2s,25x25_0.95,339.429
f2s,25x25_0.95,344.225
f2s,25x25_0.95,211.731
f2s,25x25_0.95,351.116
f2s,25x25_0.95,216.065
f2s,25x25_0.95,292.121
f2s,25x25_0.95,284.943
f2s,25x25_0.95,267.501
f2s,25x25_0.95,226.52
f2s,25x25_0.95,303.802
f2s,25x25_0.95,359.516
f2s,25x25_0.95,247.939
f2s,25x25_0.95,258.052
f2s,25x25_0.95,321.413
