model;size;cluster_prob;pattern_id;cost;time_s;loose_ends;skeins_used;cuts;floats
dp;25x25;0.05;1;881.835;0.07529;8;4;0;324
dp;25x25;0.05;2;836.378;0.0644;8;4;0;305
dp;25x25;0.05;3;852.68;0.07543;8;4;0;305
dp;25x25;0.05;4;819.702;0.06331;8;4;0;291
dp;25x25;0.05;5;834.694;0.0716;8;4;0;304
dp;25x25;0.05;6;844.927;0.0749;8;4;0;304
dp;25x25;0.05;7;825.009;0.07125;8;4;0;304
dp;25x25;0.05;8;856.222;0.07293;8;4;0;306
dp;25x25;0.05;9;811.901;0.05839;8;4;0;279
dp;25x25;0.05;10;814.353;0.06332;8;4;0;290
dp;25x25;0.05;11;830.473;0.06825;8;4;0;304
dp;25x25;0.05;12;826.703;0.06426;8;4;0;296
dp;25x25;0.05;13;823.344;0.06376;8;4;0;294
dp;25x25;0.05;14;835.378;0.07022;8;4;0;301
dp;25x25;0.05;15;859.389;0.07404;8;4;0;317
dp;25x25;0.05;16;800.917;0.06284;8;4;0;283
dp;25x25;0.05;17;817.882;0.06176;8;4;0;291
dp;25x25;0.05;18;818.325;0.07209;8;4;0;303
dp;25x25;0.05;19;876.901;0.08035;8;4;0;332
dp;25x25;0.05;20;817.196;0.06504;8;4;0;292
dp;50x50;0.05;1;3414.295;1.22778;8;4;0;1199
dp;50x50;0.05;2;3426.359;1.59644;8;4;0;1216
dp;50x50;0.05;3;3424.37;1.2759;8;4;0;1211
dp;50x50;0.05;4;3440.453;1.21684;8;4;0;1216
dp;50x50;0.05;5;3386.686;1.17359;8;4;0;1207
dp;50x50;0.05;6;3462.954;1.24536;8;4;0;1251
dp;50x50;0.05;7;3426.477;1.19785;8;4;0;1220
dp;50x50;0.05;8;3385.714;1.18442;8;4;0;1181
dp;50x50;0.05;9;3424.334;1.27308;8;4;0;1224
dp;50x50;0.05;10;3416.44;1.20901;8;4;0;1212
dp;50x50;0.05;11;3396.599;1.16293;8;4;0;1192
dp;50x50;0.05;12;3421.966;1.20981;8;4;0;1219
dp;50x50;0.05;13;3427.562;1.1569;8;4;0;1208
dp;50x50;0.05;14;3414.641;1.18639;8;4;0;1185
dp;50x50;0.05;15;3459.482;1.25729;8;4;0;1235
dp;50x50;0.05;16;3500.339;1.35929;8;4;0;1270
dp;50x50;0.05;17;3495.823;1.33716;8;4;0;1258
dp;50x50;0.05;18;3454.98;1.27718;8;4;0;1236
dp;50x50;0.05;19;3470.067;1.27663;8;4;0;1246
dp;50x50;0.05;20;3423.614;1.94528;8;4;0;1209
dp;100x100;0.05;1;14087.475;22.77517;8;4;0;4793
dp;100x100;0.05;2;14233.925;23.56233;8;4;0;4911
dp;100x100;0.05;3;14273.761;24.11196;10;4;1;4923
dp;100x100;0.05;4;14150.968;23.32739;10;4;1;4869
dp;100x100;0.05;5;14183.423;23.33436;8;4;0;4882
dp;100x100;0.05;6;14178.283;23.25027;8;4;0;4834
dp;100x100;0.05;7;14315.038;24.43415;8;4;0;4953
dp;100x100;0.05;8;14157.246;22.90383;8;4;0;4805
dp;100x100;0.05;9;14214.367;23.45812;10;4;1;4852
dp;100x100;0.05;10;14216.441;24.81124;10;4;1;4912
dp;100x100;0.05;11;14218.304;24.5419;8;4;0;4874
dp;100x100;0.05;12;14290.963;24.88904;8;4;0;4944
dp;100x100;0.05;13;14094.686;23.36216;10;4;1;4808
dp;100x100;0.05;14;14282.934;24.4747;8;4;0;4947
dp;100x100;0.05;15;14203.034;23.09266;8;4;0;4875
dp;100x100;0.05;16;14281.682;23.89693;8;4;0;4929
dp;100x100;0.05;17;14171.514;23.51337;8;4;0;4860
dp;100x100;0.05;18;14201.938;23.57468;10;4;1;4880
dp;100x100;0.05;19;14193.688;23.86363;8;4;0;4891
dp;100x100;0.05;20;14214.081;23.33594;8;4;0;4868
dp;25x25;0.25;1;773.849;0.08106;8;4;0;282
dp;25x25;0.25;2;798.713;0.05958;8;4;0;279
dp;25x25;0.25;3;780.62;0.0607;8;4;0;273
dp;25x25;0.25;4;741.769;0.05679;8;4;0;250
dp;25x25;0.25;5;786.902;0.05999;8;4;0;271
dp;25x25;0.25;6;779.056;0.06559;8;4;0;268
dp;25x25;0.25;7;799.752;0.07347;8;4;0;282
dp;25x25;0.25;8;777.364;0.06002;8;4;0;266
dp;25x25;0.25;9;779.209;0.06047;8;4;0;264
dp;25x25;0.25;10;757.456;0.06246;8;4;0;276
dp;25x25;0.25;11;758.009;0.06992;8;4;0;254
dp;25x25;0.25;12;759.966;0.05509;8;4;0;258
dp;25x25;0.25;13;736.442;0.05574;8;4;0;243
dp;25x25;0.25;14;748.511;0.05749;8;4;0;259
dp;25x25;0.25;15;798.285;0.0779;8;4;0;288
dp;25x25;0.25;16;765.868;0.05873;8;4;0;254
dp;25x25;0.25;17;772.127;0.06653;8;4;0;268
dp;25x25;0.25;18;779.84;0.07086;8;4;0;272
dp;25x25;0.25;19;791.996;0.0645;8;4;0;279
dp;25x25;0.25;20;770.393;0.05463;8;4;0;255
dp;50x50;0.25;1;3244.168;0.94372;8;4;0;1097
dp;50x50;0.25;2;3282.891;1.06051;8;4;0;1105
dp;50x50;0.25;3;3281.756;0.99516;8;4;0;1115
dp;50x50;0.25;4;3292.607;1.02203;8;4;0;1106
dp;50x50;0.25;5;3257.028;1.024;8;4;0;1092
dp;50x50;0.25;6;3163.164;0.91994;8;4;0;1041
dp;50x50;0.25;7;3270.159;1.02046;8;4;0;1102
dp;50x50;0.25;8;3220.172;1.02343;8;4;0;1074
dp;50x50;0.25;9;3254.482;0.99957;8;4;0;1098
dp;50x50;0.25;10;3270.46;1.04111;8;4;0;1114
dp;50x50;0.25;11;3245.172;0.96183;8;4;0;1089
dp;50x50;0.25;12;3215.8;0.9981;8;4;0;1072
dp;50x50;0.25;13;3235.221;1.02038;8;4;0;1083
dp;50x50;0.25;14;3298.348;1.06781;8;4;0;1127
dp;50x50;0.25;15;3277.657;1.05223;8;4;0;1116
dp;50x50;0.25;16;3226.137;0.99129;10;4;1;1073
dp;50x50;0.25;17;3217.131;0.97842;8;4;0;1075
dp;50x50;0.25;18;3212.453;0.9429;8;4;0;1059
dp;50x50;0.25;19;3277.001;1.04113;8;4;0;1108
dp;50x50;0.25;20;3229.536;0.98734;8;4;0;1078
dp;100x100;0.25;1;13446.828;17.07817;12;4;2;4278
dp;100x100;0.25;2;13531.204;18.50479;14;4;3;4319
