size,cluster_prob,model,cost,loose_ends_per_100,interruptions_per_100,float_cut_ratio
100x100,0.05,dp,14208.187549999999,0.086,0.043,4880.5
100x100,0.05,f1s,14688.5131,0.041,0.0205,4882.75
100x100,0.05,f2s,14504.509049999999,0.081,0.0405,4880.75
100x100,0.25,dp,13531.03425,0.10200000000000001,0.051000000000000004,3542.1458333333335
100x100,0.25,f1s,14106.6071,0.04,0.02,4337.8
100x100,0.25,f2s,13911.2546,0.084,0.042,4335.6
100x100,0.5,dp,12549.37395,0.149,0.0745,1286.756904761905
100x100,0.5,f1s,13330.116149999998,0.054000000000000006,0.027000000000000003,3247.866666666667
100x100,0.5,f2s,12931.68485,0.088,0.044,3517.9333333333334
100x100,0.75,dp,10978.645,0.298,0.149,253.508185009435
100x100,0.75,f1s,12217.1595,0.156,0.078,713.9832142857142
100x100,0.75,f2s,11500.747599999999,0.151,0.0755,1070.3254761904761
100x100,0.95,dp,7069.8084499999995,0.6,0.3,53.21412336826842
100x100,0.95,f1s,9461.8502,1.343,0.6715,20.61708761950861
100x100,0.95,f2s,7744.54525,0.627,0.3135,55.593031070806376
25x25,0.05,dp,834.2104499999999,1.28,0.64,301.25
25x25,0.05,f1s,909.2306000000001,0.64,0.32,303.25
25x25,0.05,f2s,882.7163,1.28,0.64,301.25
25x25,0.25,dp,772.8063500000001,1.28,0.64,267.05
25x25,0.25,f1s,861.52645,0.64,0.32,269.05
25x25,0.25,f2s,821.3030999999999,1.28,0.64,267.05
25x25,0.5,dp,687.2335,1.28,0.64,223.15
25x25,0.5,f1s,805.0617500000001,0.64,0.32,225.15
25x25,0.5,f2s,743.5373999999999,1.28,0.64,223.15
25x25,0.75,dp,523.08835,1.28,0.64,159.6
25x25,0.75,f1s,686.1966,0.656,0.328,161.55
25x25,0.75,f2s,570.82865,1.28,0.64,159.6
25x25,0.95,dp,247.17215000000002,1.264,0.632,65.6
25x25,0.95,f1s,381.0046,0.752,0.376,65.7
25x25,0.95,f2s,295.9583,1.28,0.64,65.55
50x50,0.05,dp,3433.65775,0.32,0.16,1219.75
50x50,0.05,f1s,3643.49395,0.16,0.08,1221.75
50x50,0.05,f2s,3554.24565,0.32,0.16,1219.75
50x50,0.25,dp,3248.56715,0.324,0.162,1091.2
50x50,0.25,f1s,3499.4961000000003,0.16,0.08,1093.25
50x50,0.25,f2s,3395.1534,0.32,0.16,1091.25
50x50,0.5,dp,2918.39205,0.344,0.172,893.65
50x50,0.5,f1s,3256.3749,0.184,0.092,895.65
50x50,0.5,f2s,3078.9645,0.324,0.162,893.9
50x50,0.75,dp,2434.9579,0.41200000000000003,0.20600000000000002,548.2125
50x50,0.75,f1s,2931.65285,0.236,0.118,569.3583333333333
50x50,0.75,f2s,2598.15155,0.336,0.168,661.05
50x50,0.95,dp,1213.44335,0.568,0.284,131.35464285714286
50x50,0.95,f1s,1958.602,0.992,0.496,34.11772005772006
50x50,0.95,f2s,1440.7956,0.41200000000000003,0.20600000000000002,255.9733333333333
